CandidateName,TwitterHandle
Joe Biden,JoeBiden
Bernie Sanders,BernieSanders
Kamala Harris,KamalaHarris
Beto O'Rourke,BetoORourke
Pete Buttigieg,PeteButtigieg
Elizabeth Warren,ewarren
Cory Booker,CoryBooker
Kirsten Gillibrand,SenGillibrand
Amy Klobuchar,amyklobuchar
Tulsi Gabbard,TulsiGabbard
Jay Inslee,JayInslee
John Hickenlooper,Hickenlooper
Andrew Yang,AndrewYang
Marianne Williamson,marwilliamson
Julian Castro,JulianCastro
John Delaney,JohnDelaney
Bill de Blasio,BilldeBlasio
Eric Swalwell,ericswalwell
Michael Bennet,MichaelBennet
Seth Moulton,sethmoulton
Steve Bullock,GovernorBullock
Tim Ryan,TimRyan
Wayne Messam,WayneMessam
