"","CandidateName","TotalTweets","EarliestTweet","TweetsIn2019","TrumpTweetsIn2019","TrumpPercentIn2019","TrumpTaggedTweetsIn2019","RepliesIn2019","ReplyPercentIn2019"
"1","Eric Swalwell","2681","2017-02-04 00:57:03","1232","286","23.2142857142857","114","62","5.03246753246753"
"2","Bernie Sanders","2247","2016-12-14 15:56:50","902","145","16.0753880266075","11","0","0"
"3","Seth Moulton","2798","2017-02-15 00:00:40","575","75","13.0434782608696","27","1","0.173913043478261"
"4","Tulsi Gabbard","2925","2016-09-11 03:23:00","628","77","12.2611464968153","1","49","7.80254777070064"
"5","Michael Bennet","1300","2009-06-10 00:04:48","301","36","11.9601328903654","18","7","2.32558139534884"
"6","Julian Castro","1239","2018-01-06 23:39:26","682","78","11.4369501466276","5","72","10.5571847507331"
"7","Kirsten Gillibrand","2877","2017-11-09 18:15:20","878","98","11.1617312072893","14","5","0.569476082004556"
"8","Bill de Blasio","1212","2016-10-19 22:13:15","77","8","10.3896103896104","4","5","6.49350649350649"
"9","John Delaney","2566","2018-05-14 13:38:38","1290","129","10","17","136","10.5426356589147"
"10","Jay Inslee","2632","2012-02-09 21:43:21","993","98","9.86908358509567","30","10","1.00704934541793"
"11","Elizabeth Warren","2908","2014-12-24 16:35:36","1430","106","7.41258741258741","23","6","0.41958041958042"
"12","Tim Ryan","2506","2016-06-03 13:48:45","637","47","7.37833594976452","6","81","12.7158555729984"
"13","Steve Bullock","3180","2015-02-11 16:55:18","634","44","6.94006309148265","1","11","1.73501577287066"
"14","John Hickenlooper","2805","2011-06-08 00:18:40","412","23","5.58252427184466","15","26","6.31067961165049"
"15","Amy Klobuchar","3067","2017-09-04 01:53:20","876","48","5.47945205479452","6","0","0"
"16","Cory Booker","1797","2017-09-22 23:53:09","762","41","5.38057742782152","1","42","5.51181102362205"
"17","Kamala Harris","3073","2018-04-30 22:17:57","1331","66","4.95867768595041","0","7","0.525920360631104"
"18","Wayne Messam","2580","2016-03-13 23:21:52","547","18","3.29067641681901","6","56","10.2376599634369"
"19","Joe Biden","1524","2007-10-24 22:45:57","194","6","3.09278350515464","1","3","1.54639175257732"
"20","Beto O'Rourke","2539","2018-04-08 21:48:06","738","20","2.710027100271","0","1","0.13550135501355"
"21","Marianne Williamson","3175","2018-05-15 11:02:12","1576","24","1.52284263959391","1","723","45.8756345177665"
"22","Andrew Yang","3043","2019-01-01 01:14:22","2943","22","0.747536527353041","6","1236","41.9979612640163"
"23","Pete Buttigieg","1939","2017-12-09 19:54:16","544","4","0.735294117647059","2","27","4.96323529411765"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA
