"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"ericswalwell.1",2019-06-08 02:19:15,"ericswalwell","ICYMI: here's my stance on healthcare! https://t.co/izZo9bY6Df","Sprout Social",FALSE,FALSE,44,20,NA,NA,"https://twitter.com/ericswalwell/status/1137182270299811840",NA
"ericswalwell.2",2019-06-08 01:16:02,"ericswalwell","I want to end gun violence for Nelson, and all the kids in America, so they don't have to live in fear.

#WearOrangeWeekend #NationalGunViolenceAwarenessDay https://t.co/WQ2n0CUgFa","Sprout Social",FALSE,FALSE,317,68,NA,NA,"https://twitter.com/ericswalwell/status/1137166361921249282",NA
"ericswalwell.3",2019-06-08 00:14:17,"ericswalwell","Outside corporate spending and Super PACs prevent big things from happening in Congress, even when a majority of Americans agrees on something. https://t.co/MLBKmZ44VW","Sprout Social",FALSE,FALSE,90,34,NA,NA,"https://twitter.com/ericswalwell/status/1137150818837307392",NA
"ericswalwell.4",2019-06-07 23:08:05,"ericswalwell","https://t.co/1UQqgIKcvL https://t.co/R7RDjacgmh","Twitter for iPhone",TRUE,FALSE,124,24,"realDonaldTrump",NA,"https://twitter.com/ericswalwell/status/1137134160810782720",NA
"ericswalwell.5",2019-06-07 21:47:00,"ericswalwell","I<U+2019>m the only 2020 candidate to make ending gun violence the top policy priority. Of course our first television ad should underscore this commitment. 

#NationalGunViolenceAwarenessDay #WearOrangeWeekend

https://t.co/GQg3l8yEtG","Sprout Social",FALSE,FALSE,149,38,NA,NA,"https://twitter.com/ericswalwell/status/1137113757409304577",NA
"ericswalwell.6",2019-06-07 21:45:41,"ericswalwell","I carry around this insulin vial that one of my constituents gave me so that I can carry the burden that everyday Americans face every day when paying for prescription drugs and treatments. https://t.co/789SI8Dsvt","Sprout Social",FALSE,FALSE,383,101,NA,NA,"https://twitter.com/ericswalwell/status/1137113422242426880",NA
"ericswalwell.7",2019-06-07 20:12:36,"ericswalwell","I wear this orange ribbon today and every day because ending gun violence needs to be the number one issue for the next president.

#WearOrangeWeekend https://t.co/jnwWooB53D","Sprout Social",FALSE,FALSE,1158,278,NA,NA,"https://twitter.com/ericswalwell/status/1137090000670154754",NA
"ericswalwell.8",2019-06-07 19:28:21,"ericswalwell","I'm for Medicare for anyone who wants it-- a public option that will drive down the costs of private insurers, but if you like your current coverage, you can keep it! https://t.co/3AICLIFmUH","Sprout Social",FALSE,FALSE,213,73,NA,NA,"https://twitter.com/ericswalwell/status/1137078864277114880",NA
"ericswalwell.9",2019-06-07 18:16:47,"ericswalwell","Please watch my Now This video on gun safety and Jaime's Law. We can and must do more. 
#JaimesLaw
#OrangeRibbonsForJaime 
#OrangeRibbonsForGunSafety https://t.co/9fwv2cTFuu","Twitter for iPhone",FALSE,TRUE,0,656,NA,"fred_guttenberg","https://twitter.com/ericswalwell/status/1137060854229295106",NA
"ericswalwell.10",2019-06-07 18:01:02,"ericswalwell","On #NationalGunViolenceAwarenessDay, the gig is up for the NRA. We<U+2019>re on this carousel where loss, grief, anger and then thoughts &amp; prayers from Washington is an alibi for doing nothing. No more. We will take action and restore hope where hope has died.

https://t.co/hJmqVhYE9s","Sprout Social",FALSE,FALSE,581,169,NA,NA,"https://twitter.com/ericswalwell/status/1137056888619540480",NA
