"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"SenGillibrand.1",2019-06-08 03:14:22,"SenGillibrand","Thank you @SenGillibrand for talking with our students about the issues facing LGBTQ Youth! I hope you had fun making your drag tater! Register now for Pride Camp at https://t.co/aFVopORlaW. Check out our Pride Camp Wishlist at https://t.co/fNo6h3CtmE. #StudentPowered https://t.co/julPhBJKXw","Twitter for iPhone",FALSE,TRUE,0,14,NA,"iowasafeschools","https://twitter.com/SenGillibrand/status/1137196138849800192",NA
"SenGillibrand.2",2019-06-08 02:25:58,"SenGillibrand","What a night <U+0001F308> Happy Pride, Des Moines! https://t.co/LCEC4RcGeC","Twitter for iPhone",FALSE,FALSE,341,34,NA,NA,"https://twitter.com/SenGillibrand/status/1137183960281296903",NA
"SenGillibrand.3",2019-06-08 00:10:35,"SenGillibrand","TW LIVE: Happy Pride, Iowa! <U+0001F308> I'm back at the Blazing Saddle in Des Moines with some friends <U+2014> join us:  https://t.co/rXREDwkkDO","Twitter for iPhone",FALSE,FALSE,126,31,NA,NA,"https://twitter.com/SenGillibrand/status/1137149890633576448",NA
"SenGillibrand.4",2019-06-07 21:29:35,"SenGillibrand","I'm in Iowa again this weekend and stopped by our headquarters to meet our new organizers<U+2014>like Michaela, who I met at a Des Moines event back in March, and who just moved here to work on our campaign!

This is such an inspiring team, and I can't wait to win Iowa together. https://t.co/08wBD0wxZg","Twitter for iPhone",FALSE,FALSE,161,28,NA,NA,"https://twitter.com/SenGillibrand/status/1137109373816397825",NA
"SenGillibrand.5",2019-06-07 18:04:16,"SenGillibrand","It's 2019. Let's legalize it. https://t.co/xBuYykPx3v","TweetDeck",FALSE,FALSE,397,89,NA,NA,"https://twitter.com/SenGillibrand/status/1137057703946330112",NA
"SenGillibrand.6",2019-06-07 17:24:52,"SenGillibrand","It<U+2019>s been 100 days since the House passed background checks.

In that time, 10,000 people have been shot and killed, 2 students died tackling shooters in their classrooms, &amp; 12 people were killed at work. How many more, Senator McConnell &amp; President Trump?
https://t.co/TjE9FCwU5m","Twitter for iPhone",FALSE,TRUE,0,907,NA,"GabbyGiffords","https://twitter.com/SenGillibrand/status/1137047789001748480",NA
"SenGillibrand.7",2019-06-07 16:10:40,"SenGillibrand","With this marijuana legalization plan, we can start working to not only heal the damage done by racist drug laws, but tap into the medical and economic opportunity that marijuana offers. https://t.co/nwX5FpVb6s","Twitter for iPhone",FALSE,FALSE,419,90,NA,NA,"https://twitter.com/SenGillibrand/status/1137029115423444992",NA
"SenGillibrand.8",2019-06-07 13:06:46,"SenGillibrand","Gun violence is an epidemic in this country, but it doesn't have to be. We could change it if elected officials were brave enough to stand up to the NRA.

On #NationalGunViolenceAwarenessDay, we must commit to keep up the fight to end gun violence. The stakes are too high not to. https://t.co/HUNoHXC3ou","Twitter Media Studio",FALSE,FALSE,778,242,NA,NA,"https://twitter.com/SenGillibrand/status/1136982834512584704",NA
"SenGillibrand.9",2019-06-07 02:56:57,"SenGillibrand","This is horrendous. https://t.co/TnOhRt7Pq2","Twitter for iPhone",TRUE,FALSE,3788,1011,"MaddowBlog",NA,"https://twitter.com/SenGillibrand/status/1136829369245155329",NA
"SenGillibrand.10",2019-06-07 01:15:01,"SenGillibrand","Too many families are struggling to make ends meet, and children are being held back as a result. Guaranteeing the right to affordable child care and early education will not only help parents financially, but it will level the playing field for kids<U+2014>no matter where they're from. https://t.co/maxmtAFTXN","Twitter Media Studio",FALSE,FALSE,228,45,NA,NA,"https://twitter.com/SenGillibrand/status/1136803716101791744",NA
"SenGillibrand.11",2019-06-07 00:22:43,"SenGillibrand","Trump may think this is a game, but these are people's lives we're talking about. And he's hurting them. We must protect and strengthen programs like Medicare, Medicaid, and Social Security<U+2014>not make debilitating cuts to their funding. https://t.co/0DUXPfHoPc","Twitter for iPhone",TRUE,FALSE,179,52,"CAPAction",NA,"https://twitter.com/SenGillibrand/status/1136790555734814720",NA
"SenGillibrand.12",2019-06-06 21:16:33,"SenGillibrand","Nothing proposed today can ever undo the devastating harm done to generations of communities of color by the War on Drugs. But it<U+2019>s long past time to start making this right.

It's time to legalize marijuana nationwide. https://t.co/uXOPgAYyzN","TweetDeck",FALSE,FALSE,277,61,NA,NA,"https://twitter.com/SenGillibrand/status/1136743703748534275",NA
"SenGillibrand.13",2019-06-06 20:10:28,"SenGillibrand","It's simple, really.
https://t.co/gKRqUaKBlu","Twitter for iPhone",FALSE,FALSE,206,49,NA,NA,"https://twitter.com/SenGillibrand/status/1136727074733985792",NA
