"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"MichaelBennet.1",2019-06-07 21:05:16,"MichaelBennet","Highlight: ""It's not clear to me [Trump] has the authority to put the tariffs in place,"" Senator @MichaelBennet says about tariffs on Mexico. ""He's claiming some sort of emergency authority based on national security interests I think are likely to be unconstitutional anyways."" https://t.co/TjUp0c8Og6","Twitter Web Client",FALSE,TRUE,0,12,NA,"YahooFinance","https://twitter.com/MichaelBennet/status/1137103253076881408",NA
"MichaelBennet.2",2019-06-07 20:18:44,"MichaelBennet","Today I #WearOrange to honor gun violence victims and survivors &amp; call attention to an epidemic stripping too many young people of their childhoods. Freedom from violence should not be too much for our kids to expect from their leaders. It<U+2019>s time we deliver commonsense reforms. https://t.co/KjP4MXcOwa","Twitter for iPhone",FALSE,FALSE,296,47,NA,NA,"https://twitter.com/MichaelBennet/status/1137091540445257730",NA
"MichaelBennet.3",2019-06-07 19:34:18,"MichaelBennet","<U+201C>This book has in it everything that I<U+2019>ve learned over the last 10 years about what<U+2019>s wrong &amp; right with our democracy.<U+201D>

The amazing @MichaelBennet appeared on @Morning_Joe today to talk about his candidacy &amp; his new book, THE LAND OF FLICKERING LIGHTS!

https://t.co/TdyLgpfKR3","Twitter Web Client",FALSE,TRUE,0,7,NA,"groveatlantic","https://twitter.com/MichaelBennet/status/1137080361660403712",NA
"MichaelBennet.4",2019-06-07 19:18:18,"MichaelBennet","We're Getting2Know Senator &amp; 2020 candidate @MichaelBennet. What's the best food he ate on the campaign trail, is he friends with other candidates and what is he reading? <U+0001F447> https://t.co/KOb86jrkqn","Twitter Web Client",FALSE,TRUE,0,12,NA,"Need2Know","https://twitter.com/MichaelBennet/status/1137076335409541120",NA
"MichaelBennet.5",2019-06-07 18:50:11,"MichaelBennet","It<U+2019>s shameful that we don<U+2019>t have universal health care in America. And it<U+2019>s shameful that @Senatemajldr McConnell has blocked action and @RealDonaldTrump has stripped coverage away from millions. 

This should not be the reality Americans have to endure. https://t.co/KL38lQHeFu","Twitter Media Studio",FALSE,FALSE,88,24,NA,NA,"https://twitter.com/MichaelBennet/status/1137069257525796864",NA
"MichaelBennet.6",2019-06-07 17:27:28,"MichaelBennet","Theresa Greenfield knows the importance of health care and investing in economic opportunities no matter the zip code. We need fighters for working people like Theresa. And we need to take back the Senate and put Mitch McConnell in the minority for good.  https://t.co/GkotqvdsEw","Twitter Web Client",FALSE,FALSE,40,14,NA,NA,"https://twitter.com/MichaelBennet/status/1137048441803198469",NA
"MichaelBennet.7",2019-06-07 15:59:18,"MichaelBennet","""We've been tyrannized for the last ten years by the Freedom Caucus and by Mitch McConnell, who just say no no no."" --@MichaelBennet https://t.co/nIzYtFnvMy","Twitter Web Client",FALSE,TRUE,0,261,NA,"Morning_Joe","https://twitter.com/MichaelBennet/status/1137026251883986944",NA
"MichaelBennet.8",2019-06-07 15:26:48,"MichaelBennet","I'm angry. That's why I'm running for President.

40 years of no economic mobility for 90% of the people. 
An education system that reinforces inequality. 
Trump erasing Obama's leadership on climate change. 
No response on mass shootings. 

People should be freaking furious. https://t.co/YxtzTbkTZQ","Twitter Media Studio",FALSE,FALSE,372,91,NA,NA,"https://twitter.com/MichaelBennet/status/1137018075876909056",NA
"MichaelBennet.9",2019-06-07 14:30:41,"MichaelBennet","Excited to grow our team in Iowa so we can continue sharing our message about building economic opportunity from Council Bluffs to Davenport <U+2014> and everywhere in between. https://t.co/l58O9SYpQt #iacaucus","Twitter Web Client",FALSE,FALSE,22,7,NA,NA,"https://twitter.com/MichaelBennet/status/1137003953005182977",NA
"MichaelBennet.10",2019-06-07 13:07:47,"MichaelBennet","I don't think you can be progressive unless you actually make progress. 

That<U+2019>s why I wrote Medicare-X. Because Americans need health care now. https://t.co/jXnh33tnrM","Twitter Media Studio",FALSE,FALSE,102,33,NA,NA,"https://twitter.com/MichaelBennet/status/1136983092193845248",NA
"MichaelBennet.11",2019-06-07 12:29:43,"MichaelBennet","On set with @Morning_Joe this morning talking about my new book the #LandOfFlickeringLights, a diagnosis of what<U+2019>s broken in Washington and how we can move forward to a brighter future. https://t.co/YSC6dstUVB","Twitter for iPhone",FALSE,FALSE,32,9,NA,NA,"https://twitter.com/MichaelBennet/status/1136973512042786818",NA
"MichaelBennet.12",2019-06-07 01:43:24,"MichaelBennet","Tune in live now! @maddow https://t.co/xnG0mJk85J","Twitter for iPhone",FALSE,FALSE,78,10,NA,NA,"https://twitter.com/MichaelBennet/status/1136810860905717760",NA
"MichaelBennet.13",2019-06-07 00:00:01,"MichaelBennet","<U+0001F3A5> BEHIND THE SCENES: @AdamSextonWMUR caught up with @MichaelBennet and asked him how he thinks New Hampshire can help him stand out in the large Democratic field of presidential candidates. See the full conversation here: https://t.co/xj3K2G7U60 #nhpolitics #fitn https://t.co/3jkp9atqON","Twitter Web Client",FALSE,TRUE,0,6,NA,"WMUR9","https://twitter.com/MichaelBennet/status/1136784840416776192",NA
"MichaelBennet.14",2019-06-06 21:24:46,"MichaelBennet","Tune in tonight at 9pm ET / 7pm MT. Look forward to joining @maddow. https://t.co/LGMqMxxCeR","Twitter Media Studio",FALSE,FALSE,132,32,NA,NA,"https://twitter.com/MichaelBennet/status/1136745770730831873",NA
"MichaelBennet.15",2019-06-06 20:20:25,"MichaelBennet","I call it the living room test.

If you can explain a policy to people in their living room and know that a majority could get behind it, you can build a coalition for durable change. We can achieve that with Medicare-X, my climate plan, and my plan to reduce child poverty. https://t.co/AziE96JzdN","Twitter Media Studio",FALSE,FALSE,94,25,NA,NA,"https://twitter.com/MichaelBennet/status/1136729576967741443",NA
