"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"GovernorBullock.1",2019-06-08 01:13:35,"GovernorBullock","SUNDAY: we interview 2020 Presidential Candidate @GovernorBullock

Our other guests <U+27A1><U+FE0F> https://t.co/dMcGPkXUKl https://t.co/oAKbCACSta","Twitter for iPhone",FALSE,TRUE,0,12,NA,"FaceTheNation","https://twitter.com/GovernorBullock/status/1137165745786359808",NA
"GovernorBullock.2",2019-06-08 00:12:56,"GovernorBullock","Governor Bullock waited to launch his Presidential campaign because of his commitment to Montana. Nothing more, nothing less. 

We Montanans are a proud bunch, and we're proud of the Governor's achievements in our state. He deserves to be on the debate stage. #MTNews #MTPol #DNC https://t.co/txBvsnVWDE","Twitter Web Client",FALSE,TRUE,0,19,NA,"brycebennett","https://twitter.com/GovernorBullock/status/1137150481292304384",NA
"GovernorBullock.3",2019-06-07 23:31:22,"GovernorBullock","We<U+2019>ve grieved the victims of 10 deadly mass shootings this year. There<U+2019>s no reason that number shouldn<U+2019>t be zero. #NationalGunViolenceAwarenessDay","Twitter Web Client",FALSE,FALSE,44,4,NA,NA,"https://twitter.com/GovernorBullock/status/1137140019603365888",NA
"GovernorBullock.4",2019-06-07 22:29:04,"GovernorBullock","The easiest decision I<U+2019>ll ever make. https://t.co/tS1EnegjDu","Twitter Media Studio",FALSE,FALSE,70,12,NA,NA,"https://twitter.com/GovernorBullock/status/1137124342838583298",NA
"GovernorBullock.5",2019-06-07 21:09:12,"GovernorBullock","If progress isn<U+2019>t what we<U+2019>ve been able to achieve in Montana, our Party<U+2019>s definition of progress needs to change.
https://t.co/Dc6KjVyYFd","Twitter for iPhone",FALSE,FALSE,35,15,NA,NA,"https://twitter.com/GovernorBullock/status/1137104242798452746",NA
"GovernorBullock.6",2019-06-07 20:04:48,"GovernorBullock","Montana Democrats fight hard <U+2014> for our families, our neighbors, and our values. I<U+2019>m grateful to serve among them.

Join our fight: https://t.co/fxzdLpa3Y7
https://t.co/Gf5S2feCc8","Twitter Web Client",FALSE,FALSE,52,7,NA,NA,"https://twitter.com/GovernorBullock/status/1137088035022155781",NA
"GovernorBullock.7",2019-06-07 19:06:52,"GovernorBullock","It<U+2019>s for the overworked and under-appreciated minimum wage workers who can<U+2019>t afford rent in areas with quality schools, good healthcare, and healthy, fresh food.

I<U+2019>m not naive enough to think that one court case will fix everything. But the stakes are too high for us not to act.","Twitter Web Client",FALSE,FALSE,37,5,NA,NA,"https://twitter.com/GovernorBullock/status/1137073456426684418",NA
"GovernorBullock.8",2019-06-07 19:06:26,"GovernorBullock","This fight is so much bigger than one election. It<U+2019>s for my three young kids and the world they will inherit.

It<U+2019>s for the teachers whose rights have been kicked to the curb at every turn.
https://t.co/dqXRh8XDfu","Twitter Web Client",FALSE,FALSE,66,5,NA,NA,"https://twitter.com/GovernorBullock/status/1137073348050083840",NA
"GovernorBullock.9",2019-06-07 17:12:00,"GovernorBullock","If the DNC rules are trying to shape who<U+2019>s going to be in this campaign against Donald Trump in 2020, when voters are still 250 days away from even expressing a preference, democracy suffers.
https://t.co/M0xFo8QFOG","TweetDeck",FALSE,FALSE,62,15,NA,NA,"https://twitter.com/GovernorBullock/status/1137044548679548928",NA
"GovernorBullock.10",2019-06-07 15:44:35,"GovernorBullock","No, thanks. 
https://t.co/Z1KeiDDQc8","Twitter Web Client",FALSE,FALSE,90,7,NA,NA,"https://twitter.com/GovernorBullock/status/1137022548280000512",NA
"GovernorBullock.11",2019-06-07 15:17:38,"GovernorBullock","We are doing everything we can to reach 65,000 donors. So I'm asking you: can you chip in $1 this morning? https://t.co/44jC5vsXiB","Twitter Web Client",FALSE,FALSE,45,17,NA,NA,"https://twitter.com/GovernorBullock/status/1137015767394922496",NA
"GovernorBullock.12",2019-06-07 14:07:29,"GovernorBullock","If I had to decide between campaigning for 100,000 donors or getting 100,000 people healthcare, that<U+2019>s the easiest decision I<U+2019>ve ever had to make. 
https://t.co/1IBr4Bu8BK","Twitter for iPhone",FALSE,FALSE,201,49,NA,NA,"https://twitter.com/GovernorBullock/status/1136998114294808577",NA
"GovernorBullock.13",2019-06-07 01:24:47,"GovernorBullock","It<U+2019>s about winning back the places we lost, getting rid of the dark money that has taken over our political system, and ensuring every person in America has a fair shot at success. I sure hope you<U+2019>ll join us: https://t.co/K4NDT2kQXA","Twitter Web Client",FALSE,FALSE,95,22,NA,NA,"https://twitter.com/GovernorBullock/status/1136806174903414785",NA
"GovernorBullock.14",2019-06-07 01:24:47,"GovernorBullock","We need a candidate that can both get Democrats fired up to vote and win back the places that voted for Trump, and I<U+2019>m the only candidate who<U+2019>s done it. I need your support because this is about a lot more than one debate.","Twitter Web Client",FALSE,FALSE,88,13,NA,NA,"https://twitter.com/GovernorBullock/status/1136806173922013186",NA
"GovernorBullock.15",2019-06-07 01:24:47,"GovernorBullock","I agree with Chairman @TomPerez that every candidate has to demonstrate progress to make that stage. But if progress isn<U+2019>t what we<U+2019>ve been able to achieve in Montana, our Party<U+2019>s definition of progress needs to change.","Twitter Web Client",FALSE,FALSE,68,14,NA,NA,"https://twitter.com/GovernorBullock/status/1136806172969840640",NA
"GovernorBullock.16",2019-06-07 01:24:46,"GovernorBullock","These rules are not the standard our Party should be setting. If we're ever going to get beyond partisan gridlock and back to governing, we must include those who have done the hard work to get things done outside of Washington.","Twitter Web Client",FALSE,FALSE,61,11,NA,NA,"https://twitter.com/GovernorBullock/status/1136806171908747266",NA
"GovernorBullock.17",2019-06-07 01:24:46,"GovernorBullock","But the DNC<U+2019>s new debate rules threaten to keep us off the debate stage because I didn<U+2019>t get in earlier. The truth is if I ever had to choose again between campaigning for 100,000 donors and securing healthcare for 100,000 people; well, that<U+2019>s the easiest decision I<U+2019>ll ever make.","Twitter Web Client",FALSE,FALSE,175,39,NA,NA,"https://twitter.com/GovernorBullock/status/1136806170407198722",NA
"GovernorBullock.18",2019-06-07 01:24:46,"GovernorBullock","We had a job to do in Montana. And we did it.","Twitter Web Client",FALSE,FALSE,70,8,NA,NA,"https://twitter.com/GovernorBullock/status/1136806168637128706",NA
"GovernorBullock.19",2019-06-07 01:24:45,"GovernorBullock","I don<U+2019>t regret for a minute waiting so long to launch my campaign. Nothing is more important to me than the work we did to expand Medicaid, freeze college tuition, ban foreign money from state elections, and protect a woman<U+2019>s right to make her own healthcare decisions.","Twitter Web Client",FALSE,FALSE,765,161,NA,NA,"https://twitter.com/GovernorBullock/status/1136806166720368640",NA
"GovernorBullock.20",2019-06-06 19:39:09,"GovernorBullock","Here's how you win a Trump state: you show up, you listen, and you recognize that no matter who you vote for, folks generally want the same things in life. 

We can win in Trump states, and we can take our country back. https://t.co/jYnF2ChDIu","Twitter Media Studio",FALSE,FALSE,121,26,NA,NA,"https://twitter.com/GovernorBullock/status/1136719194018459648",NA
"GovernorBullock.21",2019-06-06 16:31:28,"GovernorBullock","When they were as excited for their first day of school as they are their last today<U+2026> #tbt https://t.co/Om1kyO6TKw","Twitter Media Studio",FALSE,FALSE,125,11,NA,NA,"https://twitter.com/GovernorBullock/status/1136671958970621952",NA
"GovernorBullock.22",2019-06-06 01:37:02,"GovernorBullock","This is what <U+2588><U+2588><U+2588><U+2588> Trump <U+2588><U+2588><U+2588><U+2588><U+2588> wants <U+2588><U+2588><U+2588><U+2588> you <U+2588> to know about <U+2588><U+2588><U+2588> the money foreign <U+2588><U+2588><U+2588><U+2588><U+2588><U+2588> governments spend in our elections. 

<U+2588><U+2588><U+2588><U+2588><U+2588><U+2588> This is unacceptable. <U+2588><U+2588><U+2588><U+2588><U+2588>

All we have to do to fix it is #CheckTheBox. Read more: https://t.co/KM1KRbyC2v https://t.co/6mH4xDRj6z","Sprout Social",FALSE,FALSE,44,9,NA,NA,"https://twitter.com/GovernorBullock/status/1136446869306040320",NA
"GovernorBullock.23",2019-06-05 22:09:35,"GovernorBullock","Tune into @AriMelber at 6:40 pm ET! We<U+2019>re going to take back our democracy, and I<U+2019>ve got a plan to do it. @thebeatwithari","Twitter for iPhone",FALSE,FALSE,37,6,NA,NA,"https://twitter.com/GovernorBullock/status/1136394663164858368",NA
"GovernorBullock.24",2019-06-05 22:04:57,"GovernorBullock","Every woman deserves the right to make her own healthcare decisions. If we're going to make that a reality, we've got to #RepealHyde. https://t.co/Lci7TOUkj5","Twitter Web Client",TRUE,FALSE,193,33,"ACLU",NA,"https://twitter.com/GovernorBullock/status/1136393495030247425",NA
