"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"TulsiGabbard.1",2019-06-08 00:27:38,"TulsiGabbard","https://t.co/yQHe2qpaWl","Twitter for iPhone",FALSE,FALSE,542,93,NA,NA,"https://twitter.com/TulsiGabbard/status/1137154179150073857",NA
"TulsiGabbard.2",2019-06-08 00:27:34,"TulsiGabbard","Our democracy was designed so voters could choose their politicians, not so politicians could choose their voters.  I am proud to take @demredistrict<U+2019>s Fair District Pledge to end gerrymandering #fairmaps https://t.co/eQRCXtT9qZ","Twitter for iPhone",FALSE,FALSE,1530,366,NA,NA,"https://twitter.com/TulsiGabbard/status/1137154163127869440",NA
"TulsiGabbard.3",2019-06-07 12:46:34,"TulsiGabbard","(3/3) ...and support my message of ending regime change wars, the new Cold War, and nuclear arms race. By the way, I would love to have millionaires and billionaires join this campaign, and use their money for good, not evil. Maybe that's what they're upset about?","Twitter for iPhone",FALSE,FALSE,1135,186,NA,NA,"https://twitter.com/TulsiGabbard/status/1136977749573361665",NA
"TulsiGabbard.4",2019-06-07 12:46:33,"TulsiGabbard","(2/3) ...hosted by Omeed Malik. As is clear from the invitations sent out, I do not accept $$ from PACs/lobbyists. Some in media are apparently upset by the fact that there are business people in NYC who are against warmongers...","Twitter for iPhone",FALSE,FALSE,942,162,NA,NA,"https://twitter.com/TulsiGabbard/status/1136977748260528128",NA
"TulsiGabbard.5",2019-06-07 12:46:33,"TulsiGabbard","(1/3) I'm happy to be in NYC, holding 3 events this week (1) A meet &amp; greet hosted by our campaign on Saturday at 11am, June 8th, Project Farmhouse, 76 E 13th St, (2) a fundraiser at Dr. Raj Bhayani<U+2019>s home, a well-known Brooklyn-based surgeon &amp; (3) a breakfast conversation...","Twitter for iPhone",FALSE,FALSE,1238,273,NA,NA,"https://twitter.com/TulsiGabbard/status/1136977745991389184",NA
"TulsiGabbard.6",2019-06-06 13:15:00,"TulsiGabbard","I<U+2019>m a soldier &amp; I took an oath to put my life on the line for the people of this country. We must stand united &amp; condemn religiously-motivated attacks against anyone - Hindus, Buddhists, Muslims, Jews or Christians. An attack against one of us is an attack against all of us. https://t.co/mk6OjskVH1","Twitter Media Studio",FALSE,FALSE,6313,1749,NA,NA,"https://twitter.com/TulsiGabbard/status/1136622517886439424",NA
"TulsiGabbard.7",2019-06-05 19:41:21,"TulsiGabbard","#WorldEnvironmentDay https://t.co/qpzSWNe8zE","Sprout Social",FALSE,FALSE,840,242,NA,NA,"https://twitter.com/TulsiGabbard/status/1136357360585383939",NA
"TulsiGabbard.8",2019-06-05 13:15:00,"TulsiGabbard","Trump<U+2019>s decision to charge Assange under the Espionage Act will have a serious chilling effect on our freedom of speech and freedom of the press. It also undermines our democracy by keeping crucial information from the American people that they deserve to know. https://t.co/D3olp2JS4J","Twitter Media Studio",FALSE,FALSE,9666,4209,NA,NA,"https://twitter.com/TulsiGabbard/status/1136260129681108999",NA
"TulsiGabbard.9",2019-06-05 02:30:09,"TulsiGabbard","Ramadan is a time of prayer, fasting and reflection. Please join me in wishing Muslim Americans happiness as they celebrate Eid al-Fitr with family and friends. #EidMubarak!","Sprout Social",FALSE,FALSE,2529,443,NA,NA,"https://twitter.com/TulsiGabbard/status/1136097850851508225",NA
"TulsiGabbard.10",2019-06-05 00:49:29,"TulsiGabbard","Basically Americans will no longer be free to travel to Cuba, because Cuba is a communist country &amp; therefore its<U+2019> people are not free. So now the Trump Administration, in the name of freedom, is taking away Americans' freedom. Make sense?
https://t.co/bfnWf4p7f1","Sprout Social",FALSE,FALSE,7491,2488,NA,NA,"https://twitter.com/TulsiGabbard/status/1136072513803509760",NA
"TulsiGabbard.11",2019-06-04 13:10:00,"TulsiGabbard","Our choice: more money for our families and communities, or trillions more wasted on regime change wars and the new cold war. https://t.co/VdDjVSN90S","Twitter Media Studio",FALSE,FALSE,2901,981,NA,NA,"https://twitter.com/TulsiGabbard/status/1135896483901911041",NA
"TulsiGabbard.12",2019-06-03 20:20:08,"TulsiGabbard","We<U+2019>ve made progress in the fight for LGBTQ civil rights, but much work remains. In 28 states, you can still get fired for your sexual orientation.<U+202F>Housing &amp; adoption discrimination is common. That's why I co-sponsored the Equality Act &amp; urge passage in the Senate #PrideMonth","Twitter Web Client",FALSE,FALSE,1798,426,NA,NA,"https://twitter.com/TulsiGabbard/status/1135642344382816258",NA
"TulsiGabbard.13",2019-06-03 16:31:18,"TulsiGabbard","@SmelOdiesOG @TulsiGabbard The espionage act doesn't allow defendants to give any testimony about their motivation, why what they leaked shouldn't be classified to begin with, or anything else. Until the espionage act is reformed, whistleblowers that are charged under it are not allowed fair trials","Twitter for iPhone",FALSE,TRUE,0,158,NA,"micahflee","https://twitter.com/TulsiGabbard/status/1135584754584215552",NA
"TulsiGabbard.14",2019-06-03 15:10:02,"TulsiGabbard","The early release from prison of John Lindh, the <U+201C>American Taliban,<U+201D> is absurdly reckless. Now we taxpayers will pay for round-the-clock surveillance to make sure this al-Qaeda member doesn<U+2019>t follow through with his threats to kill more Americans. Shortsighted, to say the least.","Sprout Social",FALSE,FALSE,2958,719,NA,NA,"https://twitter.com/TulsiGabbard/status/1135564304739184649",NA
"TulsiGabbard.15",2019-06-03 13:10:00,"TulsiGabbard","If it wasn<U+2019>t for Snowden, the American people would never have learned the NSA was collecting phone records and spying on Americans. As president, I will protect whistle-blowers who expose threats to our freedom and liberty. https://t.co/AlQgC5dr0G","Twitter Media Studio",FALSE,FALSE,16481,5316,NA,NA,"https://twitter.com/TulsiGabbard/status/1135534096174768128",NA
"TulsiGabbard.16",2019-06-02 14:33:26,"TulsiGabbard","@adamrsweet_ Thank you!","Twitter for iPhone",FALSE,FALSE,5,1,NA,NA,"https://twitter.com/TulsiGabbard/status/1135192703409348608",NA
"TulsiGabbard.17",2019-06-02 14:18:24,"TulsiGabbard","Tulsi Gabbard and Bernie Sanders hugging when briefly running into one another at #CADEM2019. #BernieSanders #TulsiGabbard #Election2020 https://t.co/2Qsr0pnTi2","Twitter for iPhone",FALSE,TRUE,0,1051,NA,"_nalexander","https://twitter.com/TulsiGabbard/status/1135188920168210433",NA
"TulsiGabbard.18",2019-06-02 10:00:00,"TulsiGabbard","Stupid regime change wars suck badly needed funds from our domestic needs such as healthcare, infrastructure, protecting the environment, and more. This will end when I'm president. https://t.co/mCeCiZwB2H","Twitter Media Studio",FALSE,FALSE,5589,1556,NA,NA,"https://twitter.com/TulsiGabbard/status/1135123892563922944",NA
"TulsiGabbard.19",2019-06-02 01:55:14,"TulsiGabbard","As soon as Rep. @TulsiGabbard arrived outside of the California Democratic Party Convention, someone gave her a lei. 

Gabbard hugged and thanked supporters who chanted <U+201C>Tulsi 2020 service above self. Tulsi 2020 peace not war.<U+201D> #CADem19 #CADem https://t.co/B9qKdZ7Kfp","Twitter for iPhone",FALSE,TRUE,0,359,NA,"MissBeaE","https://twitter.com/TulsiGabbard/status/1135001897142611968",NA
"TulsiGabbard.20",2019-06-02 01:47:55,"TulsiGabbard","Post interview with congresswoman and 2020 candidate @TulsiGabbard #CADem19 <U+0001F919><U+0001F3FC>#TulsiGabbard https://t.co/23COrmoV3L","Twitter for iPhone",FALSE,TRUE,0,163,NA,"IamAlyssaSmith","https://twitter.com/TulsiGabbard/status/1135000058737205248",NA
"TulsiGabbard.21",2019-06-01 23:31:32,"TulsiGabbard","@AbbyBrickler @nikoCSFB My mom was born in Indiana. Look forward to visiting!","Twitter for iPhone",FALSE,FALSE,65,10,NA,NA,"https://twitter.com/TulsiGabbard/status/1134965732859621377",NA
"TulsiGabbard.22",2019-06-01 21:03:11,"TulsiGabbard","I'll be speaking at the California Democratic Convention in about 5-10 minutes. (approx. 2:10pm PST). Watch live on Facebook and YouTube! 
https://t.co/j0yBKnTSVl","Twitter Web Client",FALSE,FALSE,932,175,NA,NA,"https://twitter.com/TulsiGabbard/status/1134928402102677506",NA
"TulsiGabbard.23",2019-06-01 13:24:00,"TulsiGabbard","This week's top tweet: The Hypocrisy of Marijuana Laws. https://t.co/fmJWJxsZpT","Twitter Media Studio",FALSE,FALSE,5212,1896,NA,NA,"https://twitter.com/TulsiGabbard/status/1134812843218522112",NA
"TulsiGabbard.24",2019-06-01 02:16:50,"TulsiGabbard","I may not be a superhero, but I am a proud South Carolinian, and I'm ready to fight for a better future for our state and our country. I hope you are, too. Find out how you can #JoinJaime and get involved: https://t.co/2jIqtqbKAB https://t.co/zTjktJ1RpA","Twitter for iPhone",FALSE,TRUE,0,13887,NA,"harrisonjaime","https://twitter.com/TulsiGabbard/status/1134644945183051776",NA
"TulsiGabbard.25",2019-05-31 22:57:19,"TulsiGabbard",".@AOC @tedcruz The revolving door between politicians and lobbyists needs to close. I<U+2019>ve been working on comprehensive legislation to do this.  Until then, I<U+2019>m all in on a clean bill focused on Members of Congress. Let<U+2019>s make it happen. https://t.co/5HPYMVjBNV","Twitter for iPad",TRUE,FALSE,6737,1297,"tedcruz",NA,"https://twitter.com/TulsiGabbard/status/1134594736176750593",NA
