"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"BilldeBlasio.1",2019-06-13 23:29:20,"BilldeBlasio","That<U+2019>s what the debate in Miami should be about -  how we turn around this country and give hard-working Americans a better life. I look forward to making my case to my fellow Democrats and the American people.","Twitter for iPhone",FALSE,FALSE,13,4,NA,NA,"https://twitter.com/BilldeBlasio/status/1139313834114658304",NA
"BilldeBlasio.2",2019-06-13 23:28:54,"BilldeBlasio","Working Americans have been falling behind for far too long. As President, my job will be to change that. As Mayor of the largest and most diverse city in the country, I already have. My administration has put money back in the hands of working people. https://t.co/1nwZeY7HTq","Twitter for iPhone",TRUE,FALSE,18,3,"TheDemocrats",NA,"https://twitter.com/BilldeBlasio/status/1139313728078438400",NA
"BilldeBlasio.3",2019-06-13 16:49:09,"BilldeBlasio","Thank you @AMBichotte for your friendship and your kind words and for all you do for your community. I look forward to continue collaborating with you on putting working families first. https://t.co/auCNscauhW","Twitter for iPhone",TRUE,FALSE,12,2,"AMBichotte",NA,"https://twitter.com/BilldeBlasio/status/1139213124186312704",NA
"BilldeBlasio.4",2019-06-12 03:21:51,"BilldeBlasio","Thank you @billmckibben for your relentless leadership. There is so much more we must do <U+2014> and will do <U+2014> together. https://t.co/No67u3hqcu","Twitter for iPhone",TRUE,FALSE,13,5,"billmckibben",NA,"https://twitter.com/BilldeBlasio/status/1138647575551238145",NA
"BilldeBlasio.5",2019-06-11 21:22:08,"BilldeBlasio","This is not the time for half-measures. There is no ""middle ground."" Thank you @350, @sunrisemvmt, @greenpeaceusa, @public_citizen, @foe_us &amp; others for making us all feel the urgency of this moment.","Twitter for iPhone",FALSE,FALSE,36,9,NA,NA,"https://twitter.com/BilldeBlasio/status/1138557049166606343",NA
"BilldeBlasio.6",2019-06-11 21:21:45,"BilldeBlasio","That<U+2019>s also why I have signed the <U+201C>No Fossil Fuel money pledge<U+201D> in my campaign for President. I will not take one red cent from fossil fuel PACs and CEOs.","Twitter for iPhone",FALSE,FALSE,43,10,NA,NA,"https://twitter.com/BilldeBlasio/status/1138556950503989248",NA
"BilldeBlasio.7",2019-06-11 21:21:16,"BilldeBlasio","And we are implementing our own #NYCGreenNewDeal right here in NYC<U+2014>it<U+2019>s the equivalent of taking 1.3M <U+0001F698> off the road &amp; will create 25k good jobs. We are taking action because climate change is an existential threat that must be met head on.","Twitter for iPhone",FALSE,FALSE,23,9,NA,NA,"https://twitter.com/BilldeBlasio/status/1138556830857203714",NA
"BilldeBlasio.8",2019-06-11 21:20:32,"BilldeBlasio","We<U+2019>re divesting billions of dollars from fossil fuel companies and investing billions in clean energy solutions. We are saying <U+201C>No<U+201D> to new fossil fuel infrastructure like the Williams Pipeline.","Twitter for iPhone",FALSE,FALSE,29,8,NA,NA,"https://twitter.com/BilldeBlasio/status/1138556646014275585",NA
"BilldeBlasio.9",2019-06-11 21:19:36,"BilldeBlasio","Climate change is a global emergency and in NYC we are doing everything in our power to combat it. We<U+2019>re suing the big fossil fuel companies because they are complicit in the deadly consequences of climate disasters. https://t.co/TGNYcfMrql","Twitter for iPhone",FALSE,FALSE,197,52,NA,NA,"https://twitter.com/BilldeBlasio/status/1138556409757478918",NA
"BilldeBlasio.10",2019-06-11 02:10:34,"BilldeBlasio","""If we're unified with the wrong message, we're going to lose ... the losing message is moderation for the sake of moderation."" @BilldeBlasio on #Hardball. https://t.co/jGZNU5Iy2T","TweetDeck",FALSE,TRUE,0,13,NA,"hardball","https://twitter.com/BilldeBlasio/status/1138267249725169664",NA
