"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"KamalaHarris.1",2019-06-14 01:07:00,"KamalaHarris","My executive actions will protect over 6 million immigrants from deportation and provide a path to citizenship for Dreamers. We can<U+2019>t let them continue to live their lives in fear. 
https://t.co/DmkfjXFooA","Sprout Social",FALSE,FALSE,876,174,NA,NA,"https://twitter.com/KamalaHarris/status/1139338414355099648",NA
"KamalaHarris.2",2019-06-13 22:42:00,"KamalaHarris","History repeats itself. We must be better than this. 
https://t.co/zUo02IT624","Sprout Social",FALSE,FALSE,1767,673,NA,NA,"https://twitter.com/KamalaHarris/status/1139301925294415872",NA
"KamalaHarris.3",2019-06-13 21:32:01,"KamalaHarris","We have put the burden entirely on women to hold corporations accountable for pay discrimination through costly lawsuits that can be difficult to prove. When I am president, that will end. Under my equal pay plan, corporations have to pay women equally or pay the price.","Sprout Social",FALSE,FALSE,1712,340,NA,NA,"https://twitter.com/KamalaHarris/status/1139284310408794122",NA
"KamalaHarris.4",2019-06-13 20:45:05,"KamalaHarris","As we commemorate the 30th anniversary of #JusticeforJanitors, let's remember the fight for worker equality is alive today and needs our support. I stand with #OneDetroit and the downtown security officers. We must stand together with workers to hold corporations accountable.","Sprout Social",FALSE,FALSE,573,128,NA,NA,"https://twitter.com/KamalaHarris/status/1139272501241024518",NA
"KamalaHarris.5",2019-06-13 19:37:06,"KamalaHarris","He has engaged in a cover up. He's obstructed justice. He openly welcomes foreign collusion. When I'm President, I won't fear an independent Department of Justice, I'll restore one. This president is a clear and present threat to democracy. https://t.co/xNKTMKLIdS","Twitter Web Client",TRUE,FALSE,13709,3200,"ABC",NA,"https://twitter.com/KamalaHarris/status/1139255391907397633",NA
"KamalaHarris.6",2019-06-13 18:04:02,"KamalaHarris","Dreamers are just as American as any of we are and deserve to have a president who will fight for them. Let<U+2019>s give them peace of mind and fix this broken system. 
https://t.co/jcR48kphoX","Sprout Social",TRUE,FALSE,964,213,"HuffPost",NA,"https://twitter.com/KamalaHarris/status/1139231973216608256",NA
"KamalaHarris.7",2019-06-13 17:12:01,"KamalaHarris","Las Vegas: We<U+2019>re hosting an organizing rally and would love to see you there. Grab your friends, grab your family, and join us to learn more about our campaign and how our platform will help working families. 
https://t.co/t1AeOOY6n5","Sprout Social",FALSE,FALSE,335,101,NA,NA,"https://twitter.com/KamalaHarris/status/1139218879820050433",NA
"KamalaHarris.8",2019-06-13 16:06:00,"KamalaHarris","Iowa, thank you for sharing your belief in what our country can be. I can<U+2019>t wait to be back. https://t.co/Om36JyboHM","Twitter Media Studio",FALSE,FALSE,1270,313,NA,NA,"https://twitter.com/KamalaHarris/status/1139202266588749825",NA
"KamalaHarris.9",2019-06-13 12:04:09,"KamalaHarris","This Administration's anti-immigrant agenda flies in the face of our nation's values. https://t.co/w8gu1qQIAr","Sprout Social",FALSE,FALSE,2346,596,NA,NA,"https://twitter.com/KamalaHarris/status/1139141405417377792",NA
"KamalaHarris.10",2019-06-13 02:58:22,"KamalaHarris","The world lost a remarkable man 56 years ago when civil rights activist Medgar Evers was assassinated. His continued fight throughout his life to end segregation in Mississippi and secure our right to vote serves as an inspiration to this day.","Sprout Social",FALSE,FALSE,2980,521,NA,NA,"https://twitter.com/KamalaHarris/status/1139004053055315968",NA
"KamalaHarris.11",2019-06-13 01:09:38,"KamalaHarris","China is listening.
Russia is listening.
North Korea is listening. 

Let<U+2019>s speak the truth: this president is a national security threat. https://t.co/wsPYTzq0u0","Sprout Social",TRUE,FALSE,64825,19445,"evanmcmurry",NA,"https://twitter.com/KamalaHarris/status/1138976690623959042",NA
"KamalaHarris.12",2019-06-12 23:25:00,"KamalaHarris","Trump is trying to punish people for being poor. 
https://t.co/TuqBIpgqrY","Sprout Social",TRUE,FALSE,3557,1264,"nprpolitics",NA,"https://twitter.com/KamalaHarris/status/1138950358414368768",NA
"KamalaHarris.13",2019-06-12 22:11:01,"KamalaHarris","Here<U+2019>s the America we<U+2019>ll build when Trump is out of office: Families are kept together, not torn apart. Children are cared for, not kept in cages. Dreamers are finally recognized for who they are: Americans.
https://t.co/YTnDQPDIil","Sprout Social",TRUE,FALSE,2695,660,"bpolitics",NA,"https://twitter.com/KamalaHarris/status/1138931737088724995",NA
"KamalaHarris.14",2019-06-12 21:02:01,"KamalaHarris","Richard Loving had a message for the Supreme Court about interracial marriages: <U+201C>Tell the Court I love my wife, and it is just unfair that I can't live with her in Virginia.""

He and his wife Mildred won, guaranteeing interracial marriages are legal in the eyes of the law. https://t.co/tG0mK0jjZz","Sprout Social",FALSE,FALSE,5220,962,NA,NA,"https://twitter.com/KamalaHarris/status/1138914375681622016",NA
"KamalaHarris.15",2019-06-12 19:59:01,"KamalaHarris","Dreamers represent the best of who we are. America is their home. As president, I will take executive action to immediately expand DACA, keep families together, and protect millions of immigrants from fear of deportation.","Sprout Social",FALSE,FALSE,3560,756,NA,NA,"https://twitter.com/KamalaHarris/status/1138898518385602561",NA
"KamalaHarris.16",2019-06-12 17:11:56,"KamalaHarris","Every day we don<U+2019>t act to protect Dreamers is another day our country is failing an important moral test. As president, I will take executive action to put America<U+2019>s Dreamers on a path to citizenship. We must build a future that lives up to our values. https://t.co/9pVAO1KMUl","Twitter Web Client",FALSE,FALSE,1784,511,NA,NA,"https://twitter.com/KamalaHarris/status/1138856470454382592",NA
"KamalaHarris.17",2019-06-12 13:37:57,"KamalaHarris","Today we remember the 49 lives <U+2014> mostly Latinx and LGBTQ+ <U+2014> cut short from hate and gun violence three years ago. In their memory, let<U+2019>s act to prevent the next heartbreak.","Twitter Web Client",FALSE,FALSE,11689,2288,NA,NA,"https://twitter.com/KamalaHarris/status/1138802620326383616",NA
"KamalaHarris.18",2019-06-12 11:15:00,"KamalaHarris","The people in power are no match for the power of the people. #ForThePeople https://t.co/iUZ7T2uKSg","Twitter Media Studio",FALSE,FALSE,2032,583,NA,NA,"https://twitter.com/KamalaHarris/status/1138766646364037120",NA
"KamalaHarris.19",2019-06-12 01:57:33,"KamalaHarris","Here's my big idea that we all should support: Pay teachers their value. https://t.co/9FoR3XVK3D","Twitter Media Studio",FALSE,FALSE,2325,542,NA,NA,"https://twitter.com/KamalaHarris/status/1138626361852080129",NA
"KamalaHarris.20",2019-06-12 01:13:00,"KamalaHarris","It<U+2019>s time we embrace hand-marked paper ballots on a national scale. 
https://t.co/fNIuQGteo9","Sprout Social",TRUE,FALSE,31794,8512,"thehill",NA,"https://twitter.com/KamalaHarris/status/1138615148162273281",NA
"KamalaHarris.21",2019-06-11 22:10:02,"KamalaHarris",".@Chase snuck a clause in their credit card customers<U+2019> terms of service that would waive your right to join class action lawsuits against the bank. I<U+2019>ve taken on big banks before and secured billions for homeowners. I<U+2019>ll do the same as president. Chase: reverse this decision.","Sprout Social",FALSE,FALSE,5326,1166,NA,NA,"https://twitter.com/KamalaHarris/status/1138569102933602304",NA
"KamalaHarris.22",2019-06-11 20:02:00,"KamalaHarris","It is a sad state of affairs when this is considered a heartwarming story. Ryan is so thoughtful and generous <U+2014> but let this be a reminder to us all: we must reform our school lunch programs. No child should ever go hungry. https://t.co/80u6bvllik","Sprout Social",TRUE,FALSE,9345,1893,"thehill",NA,"https://twitter.com/KamalaHarris/status/1138536884362240003",NA
