"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"TimRyan.1",2019-06-14 01:47:22,"TimRyan","So @Trevornoah came to my dressing room wearing what @realDonaldTrump imagines himself in every day. https://t.co/dElM02khEl","Twitter for iPhone",FALSE,FALSE,12,6,NA,NA,"https://twitter.com/TimRyan/status/1139348572380569600",NA
"TimRyan.2",2019-06-14 00:38:24,"TimRyan","TONIGHT: 2020 presidential candidate @TimRyan is here!

<U+0001F4F8>: @ruminasean https://t.co/bP1hpOoHH8","Twitter for iPhone",FALSE,TRUE,0,16,NA,"TheDailyShow","https://twitter.com/TimRyan/status/1139331216765870080",NA
"TimRyan.3",2019-06-13 23:38:37,"TimRyan","It<U+2019>s official, I<U+2019>ll be on the #demdebate stage in Miami later this month! Thank you for your support. #dncdebate","Twitterrific for iOS",FALSE,FALSE,151,17,NA,NA,"https://twitter.com/TimRyan/status/1139316171579301888",NA
"TimRyan.4",2019-06-13 20:47:50,"TimRyan","Hard at work on my way to NYC to talk with @Trevornoah on @TheDailyShow tonight. Tune into Comedy Central at 11. https://t.co/mFcdIZpDI2","Twitterrific for iOS",FALSE,FALSE,87,17,NA,NA,"https://twitter.com/TimRyan/status/1139273191900286977",NA
"TimRyan.5",2019-06-13 19:22:46,"TimRyan","The future is now.  <U+2066>@Headspace<U+2069> . <U+2066>@andypuddicombe<U+2069>. https://t.co/Qcyxu1Fijx","Twitter for iPhone",FALSE,FALSE,3,2,NA,NA,"https://twitter.com/TimRyan/status/1139251785527451655",NA
"TimRyan.6",2019-06-13 16:29:41,"TimRyan","<U+201C>We have all these kids who are in survival mode,<U+201D>...its time for trauma based curricula in every school in America.   This is a national problem and should be funded by the national government.  #America2.0 https://t.co/dDCrDq5gWg","Twitter for iPhone",FALSE,FALSE,5,5,NA,NA,"https://twitter.com/TimRyan/status/1139208225516150784",NA
"TimRyan.7",2019-06-13 15:02:17,"TimRyan","I stand with Detroit security officers in their fight to protect their right to a union and at least $15 an hour #FightFor15 #OneDetroit #StandforSecurity
https://t.co/mqOUICHxkY","Twitter Web Client",FALSE,FALSE,29,14,NA,NA,"https://twitter.com/TimRyan/status/1139186231403827204",NA
"TimRyan.8",2019-06-13 03:04:02,"TimRyan","This is sad and cynical. To think every politician would accept research from a sworn enemy shows how demented and amoral this President is.  Think Washington or Jefferson or Eisenhower or Reagan would say this.     Shameful. https://t.co/2tYwArtbK4","Twitter for iPhone",TRUE,FALSE,66,16,"ABC",NA,"https://twitter.com/TimRyan/status/1139005480439881729",NA
"TimRyan.9",2019-06-13 01:27:28,"TimRyan","Proud to sign the @NoFossilMoney pledge. We need to address #ClimateChange now!! #NoFossilFuelMoneyPledge https://t.co/6j6r3N2Ujx","Twitter for iPhone",FALSE,FALSE,112,27,NA,NA,"https://twitter.com/TimRyan/status/1138981177916907520",NA
"TimRyan.10",2019-06-12 19:00:40,"TimRyan","Yes, I Will. <U+2066>@rweingarten<U+2069>.  <U+2066>@AFTunion<U+2069>.  <U+2066>@educationweek<U+2069> <U+2066>@edvotes<U+2069>  https://t.co/HyVenSxkzh","Twitter for iPhone",FALSE,FALSE,33,7,NA,NA,"https://twitter.com/TimRyan/status/1138883837222629376",NA
"TimRyan.11",2019-06-12 18:07:42,"TimRyan","@capitalweather @sarahkaplan48 Thank you @capitalweather &amp; @sarahkaplan48 for this article. I spoke about this at my @CNN town hall earlier this month. We need to address how we are treating our soil. Our soil should be absorbing more water &amp; mitigating #climatechange, not exacerbating it. #regenerativefarming https://t.co/v7Fjdit6Dl","Twitter Web Client",FALSE,FALSE,1,2,NA,NA,"https://twitter.com/TimRyan/status/1138870506411692032",NA
"TimRyan.12",2019-06-12 18:01:11,"TimRyan","We need to have a conversation about our agriculture system. We are destroying our soil, destroying our environment, &amp; we are losing 220 cubic tons of fish a year in the Gulf of Mexico bc of what we are sending down the Mississippi River. #ClimateChangeIsReal #regenerativefarming https://t.co/wf9dG60K9Q","Twitter Web Client",TRUE,FALSE,13,7,"capitalweather",NA,"https://twitter.com/TimRyan/status/1138868866728284160",NA
"TimRyan.13",2019-06-12 01:52:15,"TimRyan","Thank you @dbernstein!                 

Loved seeing @LouDallesandro. A friend of 20 years and The Lion of the NH Senate. https://t.co/nPu8TOvfCR","Twitter for iPhone",TRUE,FALSE,5,3,"dbernstein",NA,"https://twitter.com/TimRyan/status/1138625024926134272",NA
"TimRyan.14",2019-06-12 01:24:12,"TimRyan","I agree with @KamalaHarris. https://t.co/zBZcPTnOVY","Twitter for iPhone",TRUE,FALSE,257,64,"KamalaHarris",NA,"https://twitter.com/TimRyan/status/1138617968445837316",NA
